titulo ,score,date
Gantz 2nd Stage,7.08,"Aug 26, 2004"
Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,7.47,"Jun 17, 2017"
Killing Bites,6.63,"Jan 13, 2018, 02:25 (JST)"
Innocence,7.82,"Mar 6, 2004"
Mobile Suit Gundam Wing,7.72,"Apr 7, 1995, 17:00 (JST)"
Choujigen Game Neptune The Animation,6.98,"Jul 12, 2013"
Aoki Hagane no Arpeggio: Ars Nova,7.39,"Oct 8, 2013, 02:55 (JST)"
Space☆Dandy 2nd Season,8.26,"Jul 6, 2014"
Hoshi no Koe,7.21,"Feb 2, 2002"
Casshern Sins,7.52,"Oct 2, 2008"
Gintama.: Shirogane no Tamashii-hen,8.81,"Jan 8, 2018, 01:35 (JST)"
Clockwork Planet,6.46,"Apr 7, 2017, 01:58 (JST)"
Gintama.: Porori-hen,8.53,"Oct 2, 2017, 01:35 (JST)"
Heavy Object,7.28,"Oct 3, 2015, 00:30 (JST)"
Macross F,7.91,"Apr 4, 2008, 01:25 (JST)"
Baymax,5.96,"Nov 16, 2014"
Pac-World,4.86,"Apr 5, 2014, 18:30 (JST)"
"Doraemon Movie: Boku, Momotarou no Nanna no Sa",6.47,"Aug 1, 1981"
Shutsugeki! Machine Robo Rescue,6.67,"Jan 8, 2003, 18:00 (JST)"
Beast Saga,5.66,"Jan 13, 2013"
Zero Seiki Movie 2: Herlock,N/A,"??? ??, ????"
Armageddon,3.98,"Jan 19, 1996"
Kyoufu Densetsu Kaiki! Frankenstein,5.53,"Jul 27, 1981"
Zettai Muteki Raijin-Oh,6.75,"Apr 3, 1991, 18:00 (JST)"
Ginga Tetsudou 999: Diamond Ring no Kanata e,6.57,"Sep 9, 2009"
Tetsuwan Atom: Uchuu no Yuusha,6.27,"Jul 26, 1964"
Sango Shou Densetsu: Aoi Umi no Elfie,6.64,"May 19, 1986"
Angelique: Twin Collection,6.13,"Mar 27, 2002"
Eightman,5.87,"Nov 7, 1963"
Umi kara no Shisha,6.20,"Aug 21, 2010"
Armored Core: Fort Tower Song,4.74,"??? ??, 2006"
Misute♡naide Daisy,5.66,"Jul 3, 1997, 01:45 (JST)"
